S. No,Season,Home \ Away,S.No. 1,S.No. 2,S.No. 3,S.No. 4,S.No. 5,S.No. 6,S.No. 7,S.No. 8,S.No. 9,S.No. 10,S.No. 11,S.No. 12,S.No. 13,S.No. 14,S.No. 15,S.No. 16,S.No. 17,S.No. 18,S.No. 19,S.No. 20,Pos,Pld,W,D,L
10,2016-17,Las Palmas,1–1,3–1,0–5,1–4,3–3,1–1,1–0,0–0,5–1,,1–1,1–0,5–2,4–1,2–2,0–1,0–1,1–0,3–1,1–0,14,38,10,9,19
11,2016-17,Leganés,1–1,0–0,0–0,1–5,0–2,4–0,1–1,0–1,1–0,3–0,,0–0,2–0,4–0,2–4,0–2,2–3,0–2,1–2,0–0,17,38,8,11,19
12,2016-17,Málaga,1–2,2–1,0–2,2–0,3–0,4–3,2–1,0–1,1–1,2–1,4–0,,1–1,1–2,0–2,0–2,4–2,3–2,2–0,0–2,11,38,12,10,16
13,2016-17,Osasuna,0–1,1–2,0–3,0–3,0–0,2–2,1–1,1–2,2–1,2–2,2–1,1–1,,1–2,1–3,0–2,3–4,2–2,3–3,1–4,19,38,4,10,24
14,2016-17,Real Betis,1–4,1–0,1–1,1–1,3–3,0–0,2–0,0–1,2–2,2–0,2–0,1–0,2–0,,1–6,2–3,1–2,0–0,0–0,0–1,15,38,10,9,19
15,2016-17,Real Madrid,3–0,2–1,1–1,2–3,2–1,3–2,1–1,2–0,5–0,3–3,3–0,2–1,5–2,2–1,,3–0,4–1,2–1,2–1,1–1,1,38,29,6,3
16,2016-17,Real Sociedad,3–0,0–2,2–0,1–1,1–0,1–0,2–2,1–1,2–1,4–1,1–1,2–2,3–2,1–0,0–3,,0–4,3–1,3–2,0–1,6,38,19,7,12
17,2016-17,Sevilla,2–1,1–0,1–0,1–2,2–1,4–2,2–0,6–4,2–0,2–1,1–1,4–1,5–0,1–0,2–1,1–1,,0–0,2–1,0–0,4,38,21,9,8
18,2016-17,Sporting Gijón,2–4,2–1,1–4,0–5,1–1,0–1,2–3,1–1,3–1,1–0,2–1,0–1,3–1,2–2,2–3,1–3,1–1,,1–2,1–3,18,38,7,10,21
19,2016-17,Valencia,2–1,2–0,0–2,2–3,3–2,3–0,0–4,2–1,1–1,2–4,1–0,2–2,4–1,2–3,2–1,2–3,0–0,1–1,,1–3,12,38,13,7,18
